time,sample,cost,cp1x,cp1y,cp1z,cp2x,cp2y,cp2z,cp3x,cp3y,cp3z,cp4x,cp4y,cp4z
2.4,3,1.0726042453766726,10.2,13.28,1.3,11.360176881682753,12.903030804754849,2.138107169537654,12.956083189519983,13.136860107684756,0.6548395966634785,14.083575589227573,13.846400530087438,1.6678701936624643
2.5,1,0.9727152322645078,10.53,13.13,1.3,12.333424409249238,12.615419208797842,0.8093457404776808,13.213412872551233,13.469838064906336,0.8306670600773248,14.51553853345927,14.216948468171932,1.1566837670699268
2.5,2,0.9969846153627169,10.53,13.13,1.3,12.625308321217164,12.269294158669029,1.408265117886049,12.918810910425385,13.728520230377402,1.1631345342617043,14.58591728791642,14.146280631167002,1.137612049132123
2.5,3,1.2333927064811063,10.53,13.13,1.3,12.323765285373488,12.542182403955893,1.6539860147299332,13.23488646766344,13.432036646130387,1.0672378952554453,14.171241694143973,14.567845076334029,1.0555560989761636
2.6,1,0.5200026343970818,10.92,13.04,1.3,12.810388856889032,12.617948278979577,1.5580255339018132,13.296680733169213,13.982940598862589,1.2155877956145036,15.407482804194167,14.089518145654687,1.3646527256882646
2.6,2,0.6956551989680566,10.92,13.04,1.3,12.850367630126891,12.644381662545698,0.8566149324317909,13.191173668084032,14.046797398036958,1.5755697753348565,15.306555874114025,14.234126886425894,0.9307545614999574
2.6,3,0.7875120946208274,10.92,13.04,1.3,12.835670816111701,12.644290840363281,1.0552671911528524,13.282483323931247,13.95153983257038,1.652928628129621,15.198053204335631,14.36090115845909,0.742308369312891
2.7,1,0.5808387423905372,11.365,13.01,1.3,13.284901495210153,12.733195539996736,1.497706113618361,13.380756931211513,14.591797080446566,0.9415423043634392,15.990598716586186,14.336393974245155,1.3807825680893886
2.7,2,0.6710214945351887,11.365,13.01,1.3,13.245755179048128,12.765839573273265,1.5650270688296528,13.472754801352767,14.512824418662879,0.8452842454987813,15.980424638717572,14.387990393349911,0.8658872947093285
2.7,3,1.0261486437924248,11.365,13.01,1.3,13.54471402233887,12.49092904683053,1.1761860397496298,13.145347090548972,14.805662334164168,0.9186472204867308,15.88317964120334,14.463612341469178,1.2909386201381734
2.8,1,0.6201028272824274,11.84,13.04,1.3,13.530976412308306,13.085076413746227,1.5537945732876992,14.053473743007746,14.681459081458245,1.0559521741344433,16.74721286346025,14.437972861457219,0.7961946732905798
2.8,2,0.7244038367532956,11.84,13.04,1.3,13.45784917367151,13.140086294914335,1.7161738784031542,14.33725938049051,14.423640213759784,0.7496642185329815,16.45221019307447,14.747283910288958,1.1834365349391358
2.8,3,0.8585624246195992,11.84,13.04,1.3,13.658292135382093,12.971428669078971,1.383444696240366,13.718542993367727,14.930928362578541,1.7405046310392571,16.34196544141717,14.857812256074943,1.320494405423677
2.9,1,0.5844382585852153,12.315,13.13,1.3,13.810558274016234,13.44068010513717,1.5551843850076728,14.816880792119953,14.754930151306969,0.7206974553577878,17.354909826647102,14.628725159248019,1.0031476083468098
2.9,2,0.7333267883872843,12.315,13.13,1.3,13.981133618482838,13.288437881131527,1.3218628602988627,14.31709971519818,15.222252552783624,1.0348951465461693,17.191421631781797,14.802381954338822,1.2423005901026842
2.9,3,1.093562156269907,12.315,13.13,1.3,13.939331630744793,13.35974824989873,1.0070553050579796,14.119386772647202,15.397156408050138,1.1566402683790922,17.005908200099682,15.017658746222544,1.2115329429231587
3.0,1,23.479675916773257,12.76,13.28,1.3,14.230023838684641,13.750816205600508,1.1283506681263669,15.540521898917394,14.841844412537187,1.161823370098727,18.22604491628185,14.408967789193612,1.5673652923481414
3.0,2,23.49893149096432,12.76,13.28,1.3,13.744071427276733,14.240440064773082,1.0779922836092706,15.752055751943065,14.598000980618492,1.3817043669101112,17.974826437394977,14.75766487906396,1.175007175624693
3.0,3,23.51084031247298,12.76,13.28,1.3,14.350861380931047,13.600504826009107,1.389512901345297,15.35889455763378,15.021470568904345,1.2640331937996725,18.116062511075516,14.588134161446726,1.1217489837021468
3.1,1,0.6097545960779596,13.16,13.485,1.3,14.101751819108852,14.604702875800967,1.4155032821689504,16.541147028557287,14.662416465216152,0.9808788815183049,18.850252240003087,14.485031817043636,1.5587956079911147
3.1,2,0.6725796250750022,13.16,13.485,1.3,14.52,14.2,1.3,16.405,14.79,1.3,18.56,14.88,1.3
3.1,3,0.6725796250750022,13.16,13.485,1.3,14.52,14.2,1.3,16.405,14.79,1.3,18.56,14.88,1.3
3.2,1,0.4729085646110299,13.56,13.72,1.3,14.870563764110898,14.653384350817703,1.382745603761876,17.44273359568271,14.522994571725732,1.0161069725510448,19.671185476448517,14.252155629527943,1.3712209387538614
